record_type,module_id,module_title,gate,field_key,field_label,required,guidance,primary_value,secondary_value,status,confidence,source_title,source_reference,evidence_span_or_page,counterevidence,publisher,document_type,publication_date,reporting_period,retrieved_at,source_priority,license_class,redistribution_allowed,freshness,metric_value,metric_unit,formula_or_inputs,assumption_range,rubric_proven,rubric_perpetuating,rubric_durable,capability_status,catalyst_direction,probability,timing,market_awareness,company_control,approval_decision,reviewer,notes
research_metadata,,,,thesis_breaker,Known thesis-breaker,yes,Evidence that would force a complete rethink.,"A September-quarter revenue or margin miss, a material WFE/AI-capex slowdown, stronger export restrictions, CSBG deceleration or loss of share at key technology transitions would break the premium-growth thesis.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,0,Research intake,H0,objective,Research objective,yes,What decision should this research make easier?,Determine whether Lam Research's proven semiconductor-process moat and AI-driven growth justify the market's unusually high cash-flow and earnings multiples.,,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,0,Research intake,H0,known_thesis,Starting thesis,yes,"What do you currently believe, if anything?","Lam is a leading etch, deposition and clean platform whose process know-how, installed base and customer co-development should compound through AI-related memory, foundry, packaging and service demand, but the current valuation discounts substantial future success.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,0,Research intake,H0,thesis_breaker,Known thesis-breaker,yes,What evidence would force a complete rethink?,"A September-quarter revenue or margin miss, a material WFE/AI-capex slowdown, stronger export restrictions, CSBG deceleration or loss of share at key technology transitions would break the premium-growth thesis.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,1,Company in plain English,H1,kid_explanation,Kid-level explanation,yes,"Explain what it sells, who pays, and why in five sentences or fewer.","Lam makes extremely precise machines that chipmakers use to add, remove and clean microscopic layers on silicon wafers. As chips gain more layers and harder structures, customers need more of Lam's tools and service. The machines are valuable and difficult to replace, but chip factories spend in cycles and governments can restrict where the tools are sold.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,1,Company in plain English,H1,positive_description,Blunt positive description,yes,Why could customers keep choosing it?,"A best-in-class semiconductor-equipment compounder with record FY2026 revenue, 35.3% GAAP operating margin, a growing service base, more than 40,000 conductor-etch chambers and strong exposure to AI-driven memory, foundry and advanced packaging.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,1,Company in plain English,H1,negative_description,Blunt negative description,yes,What is the least flattering accurate description?,"A cyclical capital-equipment supplier priced for sustained AI/WFE growth, exposed to China and export controls, customer concentration, product-transition risk, single-source components and a free-cash-flow yield near 1.3% at the verified pre-earnings quote.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,2,Real economic engine,H1,economic_engine,Actual economic engine,yes,"This is actually a [business type] powered by [engine], not merely a [narrative] company.","Lam earns high-value system revenue from deposition, etch and clean tools, then monetizes the installed base through spares, service, upgrades and Equipment Intelligence. FY2026 revenue was $23.23 billion; the June quarter included $4.25 billion of systems and $2.47 billion of customer-support revenue.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,2,Real economic engine,H1,profit_source,Largest profit source,yes,"Which product, segment, or transaction produces the profit?","The core profit pool is process-critical etch and deposition equipment, reinforced by a recurring installed-base service stream. Greater device complexity raises process steps and Lam content per wafer even when unit growth is slower.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,2,Real economic engine,H1,external_dependency,Largest outside dependency,yes,What matters most that management cannot control?,"Customer wafer-fab-equipment budgets are the largest outside dependency. AI infrastructure, memory utilization and foundry technology transitions support demand, while export controls, geopolitics and customer capex pauses can override company execution.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,3,Price expectations,H2,valuation_expectations,What the price assumes,yes,"State the growth, margin, share, and execution assumptions required by the current price.","Using the latest independently verified pre-earnings quote of $291.61 and June 28 shares outstanding, market value is about $364.9 billion and enterprise value about $363.0 billion. That equals 50.6x FY2026 GAAP EPS and 74.6x FY2026 free cash flow, implying sustained WFE outperformance, strong margins and successful next-generation products. Refresh the quote before any trade.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,3,Price expectations,H2,peer_group,Peer group,yes,"Which businesses are truly comparable, and where are they not?","Applied Materials and Tokyo Electron are the closest broad wafer-fab-equipment peers; KLA is the key process-control comparator. ASML and ASM International are useful partial comparisons. Lam is particularly concentrated in etch, deposition, memory and installed-base productivity.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,3,Price expectations,H2,no_moonshot_value,No-moonshot case,yes,What remains if the most exciting future product receives zero value?,"Even assigning zero value to Dextro robotics, Semiverse Solutions or dry-photoresist optionality, Lam's installed etch/deposition/clean franchise and customer-support business are excellent. The problem is price: today's multiple already requires substantial earnings growth from the proven core.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,4,Capability and moat,H3,primary_capability,Most important capability,yes,"What useful asset, process, relationship, skill, resource, or system has the company built?","Lam's key demonstrated capability is co-optimizing hardware, process recipes, materials, software and control for the most difficult deposition and etch steps, then learning from a very large installed base.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,4,Capability and moat,H3,moat_summary,Moat conclusion,yes,"Is it a claim, capability, trajectory, proven moat, eroding moat, or no moat? Why?","Proven but cyclical moat. Qualification costs, process integration, R&D scale, customer co-development, proprietary recipes and the installed base are durable advantages. They do not eliminate WFE cycles, export restrictions or technology-transition risk.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,4,Capability and moat,H3,counterevidence,Best counterevidence,yes,What evidence most strongly argues against the moat conclusion?,"The strongest counterevidence is that excellent FY2026 execution coincides with an extreme valuation. China represented 26% of the June quarter and 37% of revenue in the nine months through March, while receivables, DSO and inventory rose into year-end.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,5,What is priced in,H3,current_engine,Current engine,yes,"What creates revenue, profit, and cash now?","Current value is generated by deposition, etch and clean systems plus the Customer Support Business Group. CSBG was $2.47 billion, or 36.8% of June-quarter revenue, providing a meaningful installed-base layer beneath new-tool cycles.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,5,What is priced in,H3,logical_extension,Logical extension,yes,Which adjacent opportunity reuses capabilities already present?,"The logical extension is more Lam content per advanced device: gate-all-around surface treatment, atomic-scale conductor etch, high-bandwidth-memory and advanced-packaging processes, plus Equipment Intelligence and Dextro automation across the installed base.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,5,What is priced in,H3,moonshot,Moonshot,yes,Which large future outcome still lacks commercial proof?,"Lam becomes the dominant autonomous-fab productivity layer by combining a massive installed base with Equipment Intelligence and Dextro robotics, creating a materially larger recurring software/service economics stream. Assign no material value until adoption and margins are disclosed.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,6,Upside and downside,H3,top_upside,Most underappreciated upside,yes,Name one measurable development that could beat expectations.,"AI-driven flash, advanced DRAM, leading-edge foundry and advanced packaging sustain low-$150-billion-plus WFE while Lam's share of WFE approaches the high-30% range and service revenue compounds faster than expected.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,6,Upside and downside,H3,top_downside,Most dangerous downside,yes,Name one measurable development that could break the thesis.,"A memory or AI-capex pause combines with tighter China controls and multiple compression, producing a sharp stock decline even if Lam remains a technology leader.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,6,Upside and downside,H3,leading_indicator,Next leading indicator,yes,What should change before the financial result becomes obvious?,"September-quarter execution is the immediate test: $8.10 billion revenue, 52.0% gross margin, 39.5% operating margin and $2.15 EPS at guidance midpoints, plus commentary on CY2027 WFE, China and CSBG.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,7,Fundamentals or vibes,H3,driver_classification,Primary price driver,yes,"Choose fundamentals, hybrid, catalyst, momentum, narrative, credit, no edge, or insufficient evidence.",Fundamental quality-growth story with strong semiconductor-cycle and valuation sensitivity.,,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,7,Fundamentals or vibes,H3,driver_evidence,Evidence for the classification,yes,What observable evidence supports this label?,"Record FY2026 revenue and profits, a greater-than-20% sequential September revenue guide and rising AI-related process complexity are fundamental drivers. The share price also embeds a large duration/multiple component, so expectations matter as much as current results.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,7,Fundamentals or vibes,H3,next_evidence,Next evidence needed,yes,What would meaningfully strengthen or weaken the classification?,"September-quarter results and 10-Q; updated CY2027 WFE expectations; CSBG growth; China/export-control exposure; Akara, Argos and advanced-packaging adoption; DSO, inventory and free-cash-flow conversion.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,12,Decision card,H3,verdict,Research verdict,yes,"Deep dive, watch for proof, watchlist, trade only, unattractive price, asymmetric trade, pass, or no position.","Watchlist; no position. Lam is a high-quality, proven-moat semiconductor-equipment leader, but roughly 50.6x trailing GAAP EPS and 74.6x FY2026 free cash flow at the verified pre-earnings quote leave too little margin of safety. Revisit after a current price refresh, September-quarter proof or a materially lower multiple.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,12,Decision card,H3,known_unknowns,Known unknowns,yes,What missing evidence matters most?,The current post-earnings share price; sustainable CY2027 WFE; China-policy impact; normalized service growth; share gains at sub-2nm and next-generation memory nodes; autonomous-fab monetization; customer concentration; and whether working capital normalizes.,,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,12,Decision card,H3,reversal_evidence,What would reverse this verdict?,yes,Write the evidence before the next event.,"Upgrade toward an approved starter position if price-to-normalized earnings falls toward 30-35x while growth, 36-40% operating margins, CSBG momentum and cash conversion remain intact, or if forward earnings rise enough to create the same valuation. Downgrade on guidance failure, share loss or materially tighter export controls.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capability_assessment,4,Capability and moat,H3,capability_assessment_1,Capability assessment,conditional,Use primary_value for the capability name and secondary_value for a plain-language explanation. Add one row per material capability.,Atomic-scale etch and deposition process integration,"Lam integrates equipment, process recipes, materials, software and control, supported by customer co-development and a large installed base. More complex 3D structures expand process steps and Lam's content opportunity.",draft,high,Lam Research 2025 Form 10-K and FY2026 results,https://www.sec.gov/Archives/edgar/data/707549/000070754925000075/lrcx-20250629.htm,"Business, competition, R&D and risk-factor sections; FY2026 slides","Peers spend heavily, customers qualify alternatives, and a missed technology transition can erode share despite the installed base.",U.S. Securities and Exchange Commission,Form 10-K / analyst assessment,2025-08-18,FY2025-FY2026,2026-07-31,1,public-domain filing plus analyst judgment,yes,current annual filing plus latest results,,,,,strong,strong,strong,proven-moat,,,,,,,,Capability status options: claim | capability | moat-trajectory | proven-moat | eroding-moat | no-moat.
metric,3,Price expectations,H2,share_price,Share price,conditional,"Enter a numeric metric_value, its unit, reporting period, source, and any formula or inputs.",,,verified-market-quote,medium,LRCX market quote and statistics,https://stockanalysis.com/stocks/lrcx/statistics/,$291.61 close on 2026-07-27,,Stock Analysis,Market quote,2026-07-27,As of 2026-07-27,2026-07-31,3,licensed public view,no,pre-earnings; refresh before any trade,291.61,USD per share,Observed quote; stale relative to the 2026-07-29 earnings release.,,,,,,,,,,,,,
metric,3,Price expectations,H2,market_capitalization,Market capitalization,conditional,"Enter a numeric metric_value, its unit, reporting period, source, and any formula or inputs.",,,calculated,high,Derived from quote and June 28 shares outstanding,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,$291.61 x 1.251278B shares,,Lam Research Corporation,Earnings release,2026-07-29,Quarter and fiscal year ended 2026-06-28,2026-07-31,1,copyrighted public filing release,no,latest reported quarter and fiscal year,364885177580,USD,Formula: share price x shares outstanding.,,,,,,,,,,,,,
metric,3,Price expectations,H2,enterprise_value,Enterprise value,conditional,"Enter a numeric metric_value, its unit, reporting period, source, and any formula or inputs.",,,calculated,high,Derived from market value and June 28 debt/cash,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,Market cap + $3.734563B debt - $5.579171B cash,,Lam Research Corporation,Earnings release,2026-07-29,Quarter and fiscal year ended 2026-06-28,2026-07-31,1,copyrighted public filing release,no,latest reported quarter and fiscal year,363040569580,USD,Formula: market capitalization + total debt - cash.,,,,,,,,,,,,,
metric,2,Real economic engine,H1,revenue,Revenue,conditional,"Enter a numeric metric_value, its unit, reporting period, source, and any formula or inputs.",,,verified,high,Lam Research June 2026 quarter and fiscal-year results,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,FY2026 GAAP revenue,,Lam Research Corporation,Earnings release,2026-07-29,Quarter and fiscal year ended 2026-06-28,2026-07-31,1,copyrighted public filing release,no,latest reported quarter and fiscal year,23232690000,USD,Reported FY2026 revenue.,,,,,,,,,,,,,
metric,2,Real economic engine,H1,operating_income,Operating income,conditional,"Enter a numeric metric_value, its unit, reporting period, source, and any formula or inputs.",,,verified,high,Lam Research June 2026 quarter and fiscal-year results,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,FY2026 GAAP operating income,,Lam Research Corporation,Earnings release,2026-07-29,Quarter and fiscal year ended 2026-06-28,2026-07-31,1,copyrighted public filing release,no,latest reported quarter and fiscal year,8199795000,USD,Reported FY2026 GAAP operating income.,,,,,,,,,,,,,
metric,2,Real economic engine,H1,net_income,Net income,conditional,"Enter a numeric metric_value, its unit, reporting period, source, and any formula or inputs.",,,verified,high,Lam Research June 2026 quarter and fiscal-year results,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,FY2026 GAAP net income,,Lam Research Corporation,Earnings release,2026-07-29,Quarter and fiscal year ended 2026-06-28,2026-07-31,1,copyrighted public filing release,no,latest reported quarter and fiscal year,7265396000,USD,Reported FY2026 GAAP net income.,,,,,,,,,,,,,
metric,2,Real economic engine,H1,free_cash_flow,Free cash flow,conditional,"Enter a numeric metric_value, its unit, reporting period, source, and any formula or inputs.",,,calculated,high,Lam Research June 2026 quarter and fiscal-year results,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,FY2026 operating cash $5.857657B less capex/intangibles $0.966405B,,Lam Research Corporation,Earnings release,2026-07-29,Quarter and fiscal year ended 2026-06-28,2026-07-31,1,copyrighted public filing release,no,latest reported quarter and fiscal year,4891252000,USD,Formula: operating cash flow - capital expenditures and intangibles.,,,,,,,,,,,,,
assumption,3,Price expectations,H2,revenue_growth,revenue growth,conditional,"Record the base assumption in primary_value, a reasonable range in assumption_range, and the evidence or reasoning in notes.",15% near term; 10% normalized,,analyst-draft,medium,Analyst scenario anchored to Lam FY2026 results,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,"FY2026 actuals, September guidance and risk factors",,Lam Research Corporation,Analyst assumption using primary sources,2026-07-29,Planning case; not company guidance,2026-07-31,2,corporate release plus analyst judgment,no,refresh after September-quarter results,,,,8% to 25%,,,,,,,,,,,,"Do not extrapolate FY2026's 26% growth indefinitely; track WFE, AI memory and advanced-packaging demand."
assumption,3,Price expectations,H2,operating_margin,operating margin,conditional,"Record the base assumption in primary_value, a reasonable range in assumption_range, and the evidence or reasoning in notes.",38%,,analyst-draft,medium,Analyst scenario anchored to Lam FY2026 results,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,"FY2026 actuals, September guidance and risk factors",,Lam Research Corporation,Analyst assumption using primary sources,2026-07-29,Planning case; not company guidance,2026-07-31,2,corporate release plus analyst judgment,no,refresh after September-quarter results,,,,36% to 40%,,,,,,,,,,,,September guidance is 39.5%; a through-cycle case should allow cyclicality and product/geography mix.
assumption,3,Price expectations,H2,free_cash_flow_margin,free cash flow margin,conditional,"Record the base assumption in primary_value, a reasonable range in assumption_range, and the evidence or reasoning in notes.",22%,,analyst-draft,medium,Analyst scenario anchored to Lam FY2026 results,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,"FY2026 actuals, September guidance and risk factors",,Lam Research Corporation,Analyst assumption using primary sources,2026-07-29,Planning case; not company guidance,2026-07-31,2,corporate release plus analyst judgment,no,refresh after September-quarter results,,,,20% to 24%,,,,,,,,,,,,FY2026 was 21.1%; working capital and capital return should be tested separately.
assumption,3,Price expectations,H2,share_count,share count,conditional,"Record the base assumption in primary_value, a reasonable range in assumption_range, and the evidence or reasoning in notes.",1.25 billion,,analyst-draft,medium,Analyst scenario anchored to Lam FY2026 results,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,"FY2026 actuals, September guidance and risk factors",,Lam Research Corporation,Analyst assumption using primary sources,2026-07-29,Planning case; not company guidance,2026-07-31,2,corporate release plus analyst judgment,no,refresh after September-quarter results,,,,1.23B to 1.26B,,,,,,,,,,,,"Use June shares; repurchases are discretionary upside, not required for the thesis."
assumption,3,Price expectations,H2,valuation_multiple,valuation multiple,conditional,"Record the base assumption in primary_value, a reasonable range in assumption_range, and the evidence or reasoning in notes.",35x normalized EPS,,analyst-draft,medium,Analyst scenario anchored to Lam FY2026 results,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,"FY2026 actuals, September guidance and risk factors",,Lam Research Corporation,Analyst assumption using primary sources,2026-07-29,Planning case; not company guidance,2026-07-31,2,corporate release plus analyst judgment,no,refresh after September-quarter results,,,,30x to 40x,,,,,,,,,,,,"Premium quality is justified, but the current roughly 51x trailing multiple leaves little cycle or execution protection."
assumption,3,Price expectations,H2,discount_rate,discount rate,conditional,"Record the base assumption in primary_value, a reasonable range in assumption_range, and the evidence or reasoning in notes.",11%,,analyst-draft,medium,Analyst scenario anchored to Lam FY2026 results,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,"FY2026 actuals, September guidance and risk factors",,Lam Research Corporation,Analyst assumption using primary sources,2026-07-29,Planning case; not company guidance,2026-07-31,2,corporate release plus analyst judgment,no,refresh after September-quarter results,,,,10% to 12%,,,,,,,,,,,,"Strong balance sheet and moat reduce company-specific risk, while cyclicality, China policy and duration warrant a double-digit equity rate."
catalyst,6,Upside and downside,H3,upside_catalyst_1,upside catalyst,conditional,"Use primary_value for the event and secondary_value for the causal explanation. Complete probability, timing, market awareness, company control, evidence, and notes.","September-quarter results meet or beat the sharp sequential growth guide and confirm share gains across memory, foundry and advanced packaging",Execution would support rising forward earnings and reduce the current multiple without requiring a lower share price.,unverified,high,Lam FY2026 results and September-quarter guidance,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,"$8.10B revenue, 39.5% operating margin and $2.15 EPS guidance midpoints",,Lam Research Corporation,Earnings release,2026-07-29,Quarter ending 2026-09-27,2026-07-31,1,copyrighted public release,no,current,,,,,,,,,upside,medium-high,0-6 months,high,medium-high,,,"Guidance is public and well understood; the surprise must come from delivery, forward demand or share gains."
catalyst,6,Upside and downside,H3,downside_catalyst_1,downside catalyst,conditional,"Use primary_value for the event and secondary_value for the causal explanation. Complete probability, timing, market awareness, company control, evidence, and notes.",AI/WFE growth slows or export controls expand while the valuation remains elevated,Even modest earnings disappointment could produce severe multiple compression because the verified quote implies about 51x trailing GAAP EPS and 75x FY2026 free cash flow.,unverified,high,Lam 2025 Form 10-K risk factors and March 2026 Form 10-Q,https://www.sec.gov/Archives/edgar/data/707549/000070754926000022/lrcx-20260329.htm,"China, export-control, cyclicality, customer and supply-chain risk factors",,U.S. Securities and Exchange Commission,Form 10-Q,2026-04-27,Nine months ended 2026-03-29 and forward risks,2026-07-31,1,public-domain filing,yes,latest quarterly filing,,,,,,,,,downside,medium,0-18 months,high,low,,,China was 37% of nine-month revenue through March and 26% of the June quarter.
evidence_source,0,Research intake,H0,module_0_evidence_1,Section evidence,conditional,"One source per row. Enter a URL or uploaded filename in source_reference and a precise page, table, paragraph, or cell range in evidence_span_or_page.",Lam Research 2025 Form 10-K,,verified,high,Lam Research 2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/707549/000070754925000075/lrcx-20250629.htm,"Company identity, products, customers, competition and risks",,U.S. Securities and Exchange Commission,Form 10-K,2025-08-18,Current / latest available,2026-07-31,1,public-domain filing,yes,current / latest available,,,,,,,,,,,,,,,,
evidence_source,1,Company in plain English,H1,module_1_evidence_1,Section evidence,conditional,"One source per row. Enter a URL or uploaded filename in source_reference and a precise page, table, paragraph, or cell range in evidence_span_or_page.",Lam FY2026 earnings slides,,verified,medium,Lam FY2026 earnings slides,https://investor.lamresearch.com/image/Q4_2026_slides_full_final.pdf,"Business mix, market position, technology and outlook",,Lam Research Corporation,Investor presentation,2026-07-29,Current / latest available,2026-07-31,2,copyrighted public web,no,current / latest available,,,,,,,,,,,,,,,,
evidence_source,2,Real economic engine,H1,module_2_evidence_1,Section evidence,conditional,"One source per row. Enter a URL or uploaded filename in source_reference and a precise page, table, paragraph, or cell range in evidence_span_or_page.",Lam June 2026 quarter and FY2026 results,,verified,high,Lam June 2026 quarter and FY2026 results,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,"Revenue, profit, cash flow, segment mix and guidance",,Lam Research Corporation,Earnings release,2026-07-29,Current / latest available,2026-07-31,1,copyrighted public release,no,current / latest available,,,,,,,,,,,,,,,,
evidence_source,3,Price expectations,H2,module_3_evidence_1,Section evidence,conditional,"One source per row. Enter a URL or uploaded filename in source_reference and a precise page, table, paragraph, or cell range in evidence_span_or_page.",LRCX market quote and statistics,,verified,medium,LRCX market quote and statistics,https://stockanalysis.com/stocks/lrcx/statistics/,$291.61 close on 2026-07-27; pre-earnings quote,,Stock Analysis,Market quote,2026-07-27,Current / latest available,2026-07-31,3,licensed public view,no,pre-earnings; refresh before trading,,,,,,,,,,,,,,,,
evidence_source,4,Capability and moat,H3,module_4_evidence_1,Section evidence,conditional,"One source per row. Enter a URL or uploaded filename in source_reference and a precise page, table, paragraph, or cell range in evidence_span_or_page.",Lam Research 2025 Form 10-K,,verified,high,Lam Research 2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/707549/000070754925000075/lrcx-20250629.htm,"Core competencies, installed base, R&D and competition",,U.S. Securities and Exchange Commission,Form 10-K,2025-08-18,Current / latest available,2026-07-31,1,public-domain filing,yes,current / latest available,,,,,,,,,,,,,,,,
evidence_source,5,What is priced in,H3,module_5_evidence_1,Section evidence,conditional,"One source per row. Enter a URL or uploaded filename in source_reference and a precise page, table, paragraph, or cell range in evidence_span_or_page.",Lam FY2026 earnings slides,,verified,medium,Lam FY2026 earnings slides,https://investor.lamresearch.com/image/Q4_2026_slides_full_final.pdf,"CY2026 WFE, share/SAM expectations and September guidance",,Lam Research Corporation,Investor presentation,2026-07-29,Current / latest available,2026-07-31,2,copyrighted public web,no,current / latest available,,,,,,,,,,,,,,,,
evidence_source,6,Upside and downside,H3,module_6_evidence_1,Section evidence,conditional,"One source per row. Enter a URL or uploaded filename in source_reference and a precise page, table, paragraph, or cell range in evidence_span_or_page.",Lam March 2026 Form 10-Q,,verified,high,Lam March 2026 Form 10-Q,https://www.sec.gov/Archives/edgar/data/707549/000070754926000022/lrcx-20260329.htm,"China, export-control, customer, cyclicality and supply risks",,U.S. Securities and Exchange Commission,Form 10-Q,2026-04-27,Current / latest available,2026-07-31,1,public-domain filing,yes,current / latest available,,,,,,,,,,,,,,,,
evidence_source,7,Fundamentals or vibes,H3,module_7_evidence_1,Section evidence,conditional,"One source per row. Enter a URL or uploaded filename in source_reference and a precise page, table, paragraph, or cell range in evidence_span_or_page.",Lam June 2026 quarter and FY2026 results,,verified,high,Lam June 2026 quarter and FY2026 results,https://investor.lamresearch.com/image/Jun_Q_2026_Earnings_PR.pdf,"Record results, cash flow and forward guidance",,Lam Research Corporation,Earnings release,2026-07-29,Current / latest available,2026-07-31,1,copyrighted public release,no,current / latest available,,,,,,,,,,,,,,,,
