id,source_id,target_id,type,weight,status,summary,command
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-macro-regime-and-economic-data-economic-week-ahead-may-25-29-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-macro-regime-and-economic-data-economic-week-ahead-may-25-29-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-macro-regime-and-economic-data-the-daily-spark-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-macro-regime-and-economic-data-the-daily-spark-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-macro-regime-and-economic-data-updated-bond-view-time-to-opportunistically-rotate-cash,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-macro-regime-and-economic-data-updated-bond-view-time-to-opportunistically-rotate-cash,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-policy-regulation-and-institutions-the-supreme-court-just-told-every-freight-broker-th,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-policy-regulation-and-institutions-the-supreme-court-just-told-every-freight-broker-th,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-research-learning-and-tools-wealth-is-righteously-earned-and-poverty-is-righteously-di,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-research-learning-and-tools-wealth-is-righteously-earned-and-poverty-is-righteously-di,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-strategy-setups-and-watchpoints-market-mechanics-or-fundamentals-whats-behind-this-ral,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-strategy-setups-and-watchpoints-market-mechanics-or-fundamentals-whats-behind-this-ral,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-strategy-setups-and-watchpoints-may-18-2026-morning-briefing-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-strategy-setups-and-watchpoints-may-18-2026-morning-briefing-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-strategy-setups-and-watchpoints-spotgamma-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-strategy-setups-and-watchpoints-spotgamma-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:20-sectors-consumer-housing-and-small-business-under-one-roof-housing-and-inflation-expectations,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:20-sectors-consumer-housing-and-small-business-under-one-roof-housing-and-inflation-expectations,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:20-sectors-financials-credit-and-real-estate-jpmorgan-fights-over-millions-of-comic-books-locked,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:20-sectors-financials-credit-and-real-estate-jpmorgan-fights-over-millions-of-comic-books-locked,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:20-sectors-healthcare-biotech-and-pharma-profiting-from-inflated-hospital-prices-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:20-sectors-healthcare-biotech-and-pharma-profiting-from-inflated-hospital-prices-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:20-sectors-healthcare-biotech-and-pharma-the-biotech-empire-of-wuxi-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:20-sectors-healthcare-biotech-and-pharma-the-biotech-empire-of-wuxi-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUPPORTED_BY:evidence:05-data-pulls-macro-2026-05-01-fred-liquidity-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,evidence:05-data-pulls-macro-2026-05-01-fred-liquidity-md,SUPPORTED_BY,1,alert,Candidate is supported by local My_Data evidence.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUPPORTED_BY:evidence:05-data-pulls-macro-2026-05-02-fred-liquidity-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,evidence:05-data-pulls-macro-2026-05-02-fred-liquidity-md,SUPPORTED_BY,1,alert,Candidate is supported by local My_Data evidence.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUPPORTED_BY:evidence:05-data-pulls-macro-2026-05-07-fred-liquidity-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,evidence:05-data-pulls-macro-2026-05-07-fred-liquidity-md,SUPPORTED_BY,1,alert,Candidate is supported by local My_Data evidence.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUPPORTED_BY:evidence:05-data-pulls-macro-2026-05-08-fred-liquidity-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,evidence:05-data-pulls-macro-2026-05-08-fred-liquidity-md,SUPPORTED_BY,1,alert,Candidate is supported by local My_Data evidence.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUPPORTED_BY:evidence:05-data-pulls-macro-2026-05-11-fred-liquidity-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,evidence:05-data-pulls-macro-2026-05-11-fred-liquidity-md,SUPPORTED_BY,1,alert,Candidate is supported by local My_Data evidence.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:HAS_REVIEW_COMMAND:command:node-run-mjs-pull-event-research-scenario-fertilizer-shortage-dry-run,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,command:node-run-mjs-pull-event-research-scenario-fertilizer-shortage-dry-run,HAS_REVIEW_COMMAND,1,alert,Candidate exposes this dry-run review command.,node run.mjs pull event-research --scenario fertilizer-shortage --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:HAS_REVIEW_COMMAND:command:node-run-mjs-pull-event-research-scenario-hormuz-oil-shock-dry-run,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,command:node-run-mjs-pull-event-research-scenario-hormuz-oil-shock-dry-run,HAS_REVIEW_COMMAND,1,alert,Candidate exposes this dry-run review command.,node run.mjs pull event-research --scenario hormuz-oil-shock --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:HAS_REVIEW_COMMAND:command:node-run-mjs-pull-event-research-scenario-glp1-supply-chain-shortage-dry-run,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,command:node-run-mjs-pull-event-research-scenario-glp1-supply-chain-shortage-dry-run,HAS_REVIEW_COMMAND,1,alert,Candidate exposes this dry-run review command.,node run.mjs pull event-research --scenario glp1-supply-chain-shortage --dry-run
rel:batch:2026-05-25:HAS_CANDIDATE:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,batch:2026-05-25,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,HAS_CANDIDATE,3,alert,Inbox batch produced this synthesized event candidate.,
rel:trend:healthcare-pricing-and-policy-pressure:SYNTHESIZES:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,trend:healthcare-pricing-and-policy-pressure,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,SYNTHESIZES,3,alert,Trend cluster synthesizes into this candidate.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:MAPS_TO_SCENARIO:scenario:glp1-supply-chain-shortage,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,scenario:glp1-supply-chain-shortage,MAPS_TO_SCENARIO,2,alert,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario glp1-supply-chain-shortage --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:ROUTES_TO:route:02-strategy-development-watchpoints,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,route:02-strategy-development-watchpoints,ROUTES_TO,1,alert,Human review should route the candidate here if accepted.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUMMARIZES_SOURCE:source:10-themes-fed-speeches-and-fomc-communications-transcript-shelia-bair-former-fdic-chair-md,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,source:10-themes-fed-speeches-and-fomc-communications-transcript-shelia-bair-former-fdic-chair-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUMMARIZES_SOURCE:source:10-themes-fed-speeches-and-fomc-communications-us-market-call-fomo-vs-femo-fabulous-earnings-mom,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,source:10-themes-fed-speeches-and-fomc-communications-us-market-call-fomo-vs-femo-fabulous-earnings-mom,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUMMARIZES_SOURCE:source:10-themes-geopolitics-and-capital-flows-global-market-call-us-iran-deal-would-boost-go-global-in,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,source:10-themes-geopolitics-and-capital-flows-global-market-call-us-iran-deal-would-boost-go-global-in,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUMMARIZES_SOURCE:source:10-themes-macro-regime-and-economic-data-economic-week-ahead-may-25-29-md,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,source:10-themes-macro-regime-and-economic-data-economic-week-ahead-may-25-29-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUMMARIZES_SOURCE:source:10-themes-macro-regime-and-economic-data-the-daily-spark-md,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,source:10-themes-macro-regime-and-economic-data-the-daily-spark-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUMMARIZES_SOURCE:source:10-themes-policy-regulation-and-institutions-the-supreme-court-just-told-every-freight-broker-th,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,source:10-themes-policy-regulation-and-institutions-the-supreme-court-just-told-every-freight-broker-th,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUMMARIZES_SOURCE:source:10-themes-research-learning-and-tools-wealth-is-righteously-earned-and-poverty-is-righteously-di,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,source:10-themes-research-learning-and-tools-wealth-is-righteously-earned-and-poverty-is-righteously-di,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUMMARIZES_SOURCE:source:10-themes-strategy-setups-and-watchpoints-market-mechanics-or-fundamentals-whats-behind-this-ral,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,source:10-themes-strategy-setups-and-watchpoints-market-mechanics-or-fundamentals-whats-behind-this-ral,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUMMARIZES_SOURCE:source:10-themes-strategy-setups-and-watchpoints-may-18-2026-morning-briefing-md,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,source:10-themes-strategy-setups-and-watchpoints-may-18-2026-morning-briefing-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUMMARIZES_SOURCE:source:20-sectors-consumer-housing-and-small-business-consumer-discretionary-another-concentrated-secto,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,source:20-sectors-consumer-housing-and-small-business-consumer-discretionary-another-concentrated-secto,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUMMARIZES_SOURCE:source:20-sectors-consumer-housing-and-small-business-under-one-roof-housing-and-inflation-expectations,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,source:20-sectors-consumer-housing-and-small-business-under-one-roof-housing-and-inflation-expectations,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUMMARIZES_SOURCE:source:20-sectors-healthcare-biotech-and-pharma-profiting-from-inflated-hospital-prices-md,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,source:20-sectors-healthcare-biotech-and-pharma-profiting-from-inflated-hospital-prices-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUMMARIZES_SOURCE:source:20-sectors-healthcare-biotech-and-pharma-the-biotech-empire-of-wuxi-md,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,source:20-sectors-healthcare-biotech-and-pharma-the-biotech-empire-of-wuxi-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUPPORTED_BY:evidence:05-data-pulls-housing-2026-05-01-nahb-builder-confidence-md,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,evidence:05-data-pulls-housing-2026-05-01-nahb-builder-confidence-md,SUPPORTED_BY,1,alert,Candidate is supported by local My_Data evidence.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUPPORTED_BY:evidence:05-data-pulls-housing-2026-05-02-nahb-builder-confidence-md,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,evidence:05-data-pulls-housing-2026-05-02-nahb-builder-confidence-md,SUPPORTED_BY,1,alert,Candidate is supported by local My_Data evidence.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUPPORTED_BY:evidence:05-data-pulls-biotech-2026-05-09-clinicaltrials-oncology-md,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,evidence:05-data-pulls-biotech-2026-05-09-clinicaltrials-oncology-md,SUPPORTED_BY,1,alert,Candidate is supported by local My_Data evidence.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUPPORTED_BY:evidence:05-data-pulls-biotech-2026-05-01-fda-approvals-md,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,evidence:05-data-pulls-biotech-2026-05-01-fda-approvals-md,SUPPORTED_BY,1,alert,Candidate is supported by local My_Data evidence.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:SUPPORTED_BY:evidence:05-data-pulls-biotech-2026-05-02-fda-approvals-md,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,evidence:05-data-pulls-biotech-2026-05-02-fda-approvals-md,SUPPORTED_BY,1,alert,Candidate is supported by local My_Data evidence.,
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:HAS_REVIEW_COMMAND:command:node-run-mjs-pull-event-research-scenario-glp1-supply-chain-shortage-dry-run,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,command:node-run-mjs-pull-event-research-scenario-glp1-supply-chain-shortage-dry-run,HAS_REVIEW_COMMAND,1,alert,Candidate exposes this dry-run review command.,node run.mjs pull event-research --scenario glp1-supply-chain-shortage --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:HAS_REVIEW_COMMAND:command:node-run-mjs-scan-sectors-sector-healthcare-dry-run,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,command:node-run-mjs-scan-sectors-sector-healthcare-dry-run,HAS_REVIEW_COMMAND,1,alert,Candidate exposes this dry-run review command.,node run.mjs scan sectors --sector healthcare --dry-run
rel:batch:2026-05-25:HAS_CANDIDATE:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,batch:2026-05-25,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,HAS_CANDIDATE,2,alert,Inbox batch produced this synthesized event candidate.,
rel:trend:power-grid-and-industrial-capex:SYNTHESIZES:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,trend:power-grid-and-industrial-capex,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,SYNTHESIZES,2,alert,Trend cluster synthesizes into this candidate.,
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:MAPS_TO_SCENARIO:scenario:ai-data-center-power-bottleneck,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,scenario:ai-data-center-power-bottleneck,MAPS_TO_SCENARIO,2,alert,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario ai-data-center-power-bottleneck --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:MAPS_TO_SCENARIO:scenario:copper-supply-bottleneck,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,scenario:copper-supply-bottleneck,MAPS_TO_SCENARIO,2,alert,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario copper-supply-bottleneck --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:ROUTES_TO:route:02-strategy-development-watchpoints,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,route:02-strategy-development-watchpoints,ROUTES_TO,1,alert,Human review should route the candidate here if accepted.,
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:SUMMARIZES_SOURCE:source:10-themes-fed-speeches-and-fomc-communications-transcript-shelia-bair-former-fdic-chair-md,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,source:10-themes-fed-speeches-and-fomc-communications-transcript-shelia-bair-former-fdic-chair-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:SUMMARIZES_SOURCE:source:10-themes-macro-regime-and-economic-data-the-daily-spark-md,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,source:10-themes-macro-regime-and-economic-data-the-daily-spark-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:SUMMARIZES_SOURCE:source:10-themes-policy-regulation-and-institutions-the-supreme-court-just-told-every-freight-broker-th,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,source:10-themes-policy-regulation-and-institutions-the-supreme-court-just-told-every-freight-broker-th,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:SUMMARIZES_SOURCE:source:10-themes-research-learning-and-tools-wealth-is-righteously-earned-and-poverty-is-righteously-di,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,source:10-themes-research-learning-and-tools-wealth-is-righteously-earned-and-poverty-is-righteously-di,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:SUMMARIZES_SOURCE:source:10-themes-strategy-setups-and-watchpoints-may-18-2026-morning-briefing-md,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,source:10-themes-strategy-setups-and-watchpoints-may-18-2026-morning-briefing-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:SUMMARIZES_SOURCE:source:20-sectors-healthcare-biotech-and-pharma-profiting-from-inflated-hospital-prices-md,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,source:20-sectors-healthcare-biotech-and-pharma-profiting-from-inflated-hospital-prices-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:SUMMARIZES_SOURCE:source:20-sectors-healthcare-biotech-and-pharma-the-biotech-empire-of-wuxi-md,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,source:20-sectors-healthcare-biotech-and-pharma-the-biotech-empire-of-wuxi-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:SUPPORTED_BY:evidence:05-data-pulls-energy-2026-05-01-eia-generation-mix-md,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,evidence:05-data-pulls-energy-2026-05-01-eia-generation-mix-md,SUPPORTED_BY,1,alert,Candidate is supported by local My_Data evidence.,
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:SUPPORTED_BY:evidence:05-data-pulls-energy-2026-05-02-eia-generation-mix-md,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,evidence:05-data-pulls-energy-2026-05-02-eia-generation-mix-md,SUPPORTED_BY,1,alert,Candidate is supported by local My_Data evidence.,
