id:ID,asOfDate,canonicalName,dataType,date,domain,label,name,nodeType,obsidianUrl,relativePath,sourceFolder,sourcePath,sourceVault,source_folder,source_path,source_rel_path,source_url,source_vault,status,subdomain,tags,vault,:LABEL
world:sector:energy,2026-06-01,Energy,,,Entities,Energy,Energy,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FEnergy.md,Entities/Sectors/Energy.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Energy.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Energy.md,Entities/Sectors/Energy.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FEnergy.md,World_Machine,Active,Sectors,"[""sector""]",World_Machine,Sector
world:sector:finance-and-insurance,2026-06-01,Finance and Insurance,sector-report,2026-05-12,Entities,Finance and Insurance,Finance and Insurance,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FFinance%20and%20Insurance.md,Entities/Sectors/Finance and Insurance.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Finance and Insurance.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Finance and Insurance.md,Entities/Sectors/Finance and Insurance.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FFinance%20and%20Insurance.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""finance"",""insurance"",""rates""]",World_Machine,Sector
world:sector:financials,2026-06-01,Financials,,,Entities,Financials,Financials,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FFinancials.md,Entities/Sectors/Financials.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Financials.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Financials.md,Entities/Sectors/Financials.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FFinancials.md,World_Machine,Active,Sectors,"[""sector""]",World_Machine,Entity;Sector
world:sector:healthcare,2026-06-01,Healthcare,,,Entities,Healthcare,Healthcare,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FHealthcare.md,Entities/Sectors/Healthcare.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Healthcare.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Healthcare.md,Entities/Sectors/Healthcare.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FHealthcare.md,World_Machine,Active,Sectors,"[""sector""]",World_Machine,Entity;Sector
world:sector:healthcare-and-social-assistance,2026-06-01,Healthcare and Social Assistance,sector-report,2026-05-12,Entities,Healthcare and Social Assistance,Healthcare and Social Assistance,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FHealthcare%20and%20Social%20Assistance.md,Entities/Sectors/Healthcare and Social Assistance.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Healthcare and Social Assistance.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Healthcare and Social Assistance.md,Entities/Sectors/Healthcare and Social Assistance.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FHealthcare%20and%20Social%20Assistance.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""healthcare"",""policy"",""labor""]",World_Machine,Entity;Sector
world:sector:human-resources-and-benefits-administration,2026-06-01,Human Resources and Benefits Administration,sector-report,2026-05-12,Entities,Human Resources and Benefits Administration,Human Resources and Benefits Administration,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FHuman%20Resources%20and%20Benefits%20Administration.md,Entities/Sectors/Human Resources and Benefits Administration.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Human Resources and Benefits Administration.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Human Resources and Benefits Administration.md,Entities/Sectors/Human Resources and Benefits Administration.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FHuman%20Resources%20and%20Benefits%20Administration.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""hr"",""labor"",""benefits""]",World_Machine,Entity;Sector
world:sector:industrials,2026-06-01,Industrials,,,Entities,Industrials,Industrials,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FIndustrials.md,Entities/Sectors/Industrials.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Industrials.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Industrials.md,Entities/Sectors/Industrials.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FIndustrials.md,World_Machine,Active,Sectors,"[""sector""]",World_Machine,Entity;Sector
world:sector:information,2026-06-01,Information,sector-report,2026-05-12,Entities,Information,Information,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FInformation.md,Entities/Sectors/Information.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Information.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Information.md,Entities/Sectors/Information.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FInformation.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""information"",""technology"",""ai""]",World_Machine,Entity;Sector
world:sector:manufacturing,2026-06-01,Manufacturing,sector-report,2026-05-12,Entities,Manufacturing,Manufacturing,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FManufacturing.md,Entities/Sectors/Manufacturing.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Manufacturing.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Manufacturing.md,Entities/Sectors/Manufacturing.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FManufacturing.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""manufacturing"",""industrials""]",World_Machine,Entity;Sector
world:sector:materials,2026-06-01,Materials,,,Entities,Materials,Materials,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FMaterials.md,Entities/Sectors/Materials.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Materials.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Materials.md,Entities/Sectors/Materials.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FMaterials.md,World_Machine,Active,Sectors,"[""sector""]",World_Machine,Entity;Sector
world:sector:memory-semiconductors,2026-06-01,Memory Semiconductors,sector,2026-05-12,Entities,Memory Semiconductors,Memory Semiconductors,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FMemory%20Semiconductors.md,Entities/Sectors/Memory Semiconductors.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Memory Semiconductors.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Memory Semiconductors.md,Entities/Sectors/Memory Semiconductors.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FMemory%20Semiconductors.md,World_Machine,,Sectors,"[""sector"",""semiconductors"",""memory"",""ai"",""nand"",""hbm"",""data-centers""]",World_Machine,Entity;Sector
world:sector:mining,2026-06-01,Mining,sector-report,2026-05-12,Entities,Mining,Mining,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FMining.md,Entities/Sectors/Mining.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Mining.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Mining.md,Entities/Sectors/Mining.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FMining.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""mining"",""energy"",""materials""]",World_Machine,Entity;Sector
world:sector:primary-client-sectors,2026-06-01,{{primary_client_sectors}},,,Entities,{{primary_client_sectors}},{{primary_client_sectors}},sector,,,,,,,,,,,,,[],,Entity;Sector
world:sector:primary-industry-sectors,2026-06-01,{{primary_industry_sectors}},,,Entities,{{primary_industry_sectors}},{{primary_industry_sectors}},sector,,,,,,,,,,,,,[],,Entity;Sector
world:sector:primary-sector-interests,2026-06-01,{{primary_sector_interests}},,,Entities,{{primary_sector_interests}},{{primary_sector_interests}},sector,,,,,,,,,,,,,[],,Entity;Sector
world:sector:professional-scientific-and-technical-services,2026-06-01,Professional Scientific and Technical Services,sector-report,2026-05-12,Entities,Professional Scientific and Technical Services,Professional Scientific and Technical Services,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FProfessional%20Scientific%20and%20Technical%20Services.md,Entities/Sectors/Professional Scientific and Technical Services.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Professional Scientific and Technical Services.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Professional Scientific and Technical Services.md,Entities/Sectors/Professional Scientific and Technical Services.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FProfessional%20Scientific%20and%20Technical%20Services.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""professional-services"",""ai"",""labor""]",World_Machine,Entity;Sector
world:sector:real-estate,2026-06-01,Real Estate,,,Entities,Real Estate,Real Estate,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FReal%20Estate.md,Entities/Sectors/Real Estate.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Real Estate.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Real Estate.md,Entities/Sectors/Real Estate.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FReal%20Estate.md,World_Machine,Active,Sectors,"[""sector""]",World_Machine,Sector
world:sector:real-estate-and-rental-and-leasing,2026-06-01,Real Estate and Rental and Leasing,sector-report,2026-05-12,Entities,Real Estate and Rental and Leasing,Real Estate and Rental and Leasing,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FReal%20Estate%20and%20Rental%20and%20Leasing.md,Entities/Sectors/Real Estate and Rental and Leasing.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Real Estate and Rental and Leasing.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Real Estate and Rental and Leasing.md,Entities/Sectors/Real Estate and Rental and Leasing.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FReal%20Estate%20and%20Rental%20and%20Leasing.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""real-estate"",""rates""]",World_Machine,Entity;Sector
world:sector:retail-trade,2026-06-01,Retail Trade,sector-report,2026-05-12,Entities,Retail Trade,Retail Trade,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FRetail%20Trade.md,Entities/Sectors/Retail Trade.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Retail Trade.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Retail Trade.md,Entities/Sectors/Retail Trade.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FRetail%20Trade.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""retail"",""consumer""]",World_Machine,Entity;Sector
world:sector:tech,2026-06-01,tech,,,Entities,tech,tech,sector,,,,,,,,,,,,,[],,Entity;Sector
world:sector:tech-sector,2026-06-01,Tech Sector,,,Entities,Tech Sector,Tech Sector,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FTech%20Sector.md,Entities/Sectors/Tech Sector.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Tech Sector.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Tech Sector.md,Entities/Sectors/Tech Sector.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FTech%20Sector.md,World_Machine,Active,Sectors,"[""sector""]",World_Machine,Sector
world:sector:transportation-and-warehousing,2026-06-01,Transportation and Warehousing,sector-report,2026-05-12,Entities,Transportation and Warehousing,Transportation and Warehousing,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FTransportation%20and%20Warehousing.md,Entities/Sectors/Transportation and Warehousing.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Transportation and Warehousing.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Transportation and Warehousing.md,Entities/Sectors/Transportation and Warehousing.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FTransportation%20and%20Warehousing.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""transportation"",""logistics""]",World_Machine,Entity;Sector
world:sector:utilities,2026-06-01,Utilities,sector-report,2026-05-12,Entities,Utilities,Utilities,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FUtilities.md,Entities/Sectors/Utilities.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Utilities.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Utilities.md,Entities/Sectors/Utilities.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FUtilities.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""utilities"",""energy"",""ai-power""]",World_Machine,Sector
world:sector:wholesale-trade,2026-06-01,Wholesale Trade,sector-report,2026-05-12,Entities,Wholesale Trade,Wholesale Trade,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FWholesale%20Trade.md,Entities/Sectors/Wholesale Trade.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Wholesale Trade.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Wholesale Trade.md,Entities/Sectors/Wholesale Trade.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FWholesale%20Trade.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""wholesale"",""supply-chain""]",World_Machine,Entity;Sector
